"Woningtype";"Bouwjaarklasse";"Perioden";"Regio's";"Beginstand woningvoorraad (aantal)";"Gemiddelde oppervlakte (m2)"
"Totaal";"1985 tot 1995";"2021";"Amsterdam";45110;77
"Totaal";"1985 tot 1995";"2022";"Amsterdam";45263;77
"Totaal";"1985 tot 1995";"2023";"Amsterdam";45945;77
"Totaal";"1985 tot 1995";"2024";"Amsterdam";46570;77
"Totaal";"1985 tot 1995";"2025";"Amsterdam";46976;77
"Totaal";"1985 tot 1995";"2026";"Amsterdam";47362;77
"Totaal";"1985 tot 1995";"2012";"'s-Gravenhage (gemeente)";20643;83
"Totaal";"1985 tot 1995";"2013";"'s-Gravenhage (gemeente)";21252;82
"Totaal";"1985 tot 1995";"2014";"'s-Gravenhage (gemeente)";22031;81
"Totaal";"1985 tot 1995";"2015";"'s-Gravenhage (gemeente)";22162;80
"Totaal";"1985 tot 1995";"2016";"'s-Gravenhage (gemeente)";22169;80
"Totaal";"1985 tot 1995";"2017";"'s-Gravenhage (gemeente)";22491;80
"Totaal";"1985 tot 1995";"2018";"'s-Gravenhage (gemeente)";22482;80
"Totaal";"1985 tot 1995";"2019";"'s-Gravenhage (gemeente)";22507;80
"Totaal";"1985 tot 1995";"2020";"'s-Gravenhage (gemeente)";22508;80
"Totaal";"1985 tot 1995";"2021";"'s-Gravenhage (gemeente)";22557;81
"Totaal";"1985 tot 1995";"2022";"'s-Gravenhage (gemeente)";22584;81
"Totaal";"1985 tot 1995";"2023";"'s-Gravenhage (gemeente)";22357;81
"Totaal";"1985 tot 1995";"2024";"'s-Gravenhage (gemeente)";22371;81
"Totaal";"1985 tot 1995";"2025";"'s-Gravenhage (gemeente)";22389;81
"Totaal";"1985 tot 1995";"2026";"'s-Gravenhage (gemeente)";22384;81
"Totaal";"1985 tot 1995";"2012";"Rotterdam";39251;91
"Totaal";"1985 tot 1995";"2013";"Rotterdam";39237;91
"Totaal";"1985 tot 1995";"2014";"Rotterdam";39163;91
"Totaal";"1985 tot 1995";"2015";"Rotterdam";40360;89
"Totaal";"1985 tot 1995";"2016";"Rotterdam";40330;89
"Totaal";"1985 tot 1995";"2017";"Rotterdam";39706;89
"Totaal";"1985 tot 1995";"2018";"Rotterdam";39829;89
"Totaal";"1985 tot 1995";"2019";"Rotterdam";39919;89
"Totaal";"1985 tot 1995";"2020";"Rotterdam";39920;89
"Totaal";"1985 tot 1995";"2021";"Rotterdam";39966;88
"Totaal";"1985 tot 1995";"2022";"Rotterdam";39964;88
"Totaal";"1985 tot 1995";"2023";"Rotterdam";40018;88
"Totaal";"1985 tot 1995";"2024";"Rotterdam";40098;88
"Totaal";"1985 tot 1995";"2025";"Rotterdam";40125;88
"Totaal";"1985 tot 1995";"2026";"Rotterdam";40156;88
"Totaal";"1985 tot 1995";"2012";"Utrecht (gemeente)";11576;87
"Totaal";"1985 tot 1995";"2013";"Utrecht (gemeente)";11574;87
"Totaal";"1985 tot 1995";"2014";"Utrecht (gemeente)";11656;86
"Totaal";"1985 tot 1995";"2015";"Utrecht (gemeente)";11662;87
"Totaal";"1985 tot 1995";"2016";"Utrecht (gemeente)";11667;87
"Totaal";"1985 tot 1995";"2017";"Utrecht (gemeente)";11677;87
"Totaal";"1985 tot 1995";"2018";"Utrecht (gemeente)";11904;86
"Totaal";"1985 tot 1995";"2019";"Utrecht (gemeente)";11948;86
"Totaal";"1985 tot 1995";"2020";"Utrecht (gemeente)";12038;86
"Totaal";"1985 tot 1995";"2021";"Utrecht (gemeente)";12168;86
"Totaal";"1985 tot 1995";"2022";"Utrecht (gemeente)";12094;85
"Totaal";"1985 tot 1995";"2023";"Utrecht (gemeente)";12091;86
"Totaal";"1985 tot 1995";"2024";"Utrecht (gemeente)";12272;85
"Totaal";"1985 tot 1995";"2025";"Utrecht (gemeente)";12315;85
"Totaal";"1985 tot 1995";"2026";"Utrecht (gemeente)";12193;85
"Totaal";"1995 tot 2005";"2012";"Nederland";826390;132
"Totaal";"1995 tot 2005";"2013";"Nederland";826600;132
"Totaal";"1995 tot 2005";"2014";"Nederland";829376;132
"Totaal";"1995 tot 2005";"2015";"Nederland";830779;131
"Totaal";"1995 tot 2005";"2016";"Nederland";831875;131
"Totaal";"1995 tot 2005";"2017";"Nederland";832463;131
"Totaal";"1995 tot 2005";"2018";"Nederland";831209;131
"Totaal";"1995 tot 2005";"2019";"Nederland";832269;131
"Totaal";"1995 tot 2005";"2020";"Nederland";833130;131
"Totaal";"1995 tot 2005";"2021";"Nederland";834929;131
"Totaal";"1995 tot 2005";"2022";"Nederland";836283;132
"Totaal";"1995 tot 2005";"2023";"Nederland";836602;132
"Totaal";"1995 tot 2005";"2024";"Nederland";836970;132
"Totaal";"1995 tot 2005";"2025";"Nederland";837126;132
"Totaal";"1995 tot 2005";"2026";"Nederland";837568;132
"Totaal";"1995 tot 2005";"2012";"Amsterdam";29740;99
"Totaal";"1995 tot 2005";"2013";"Amsterdam";29668;99
"Totaal";"1995 tot 2005";"2014";"Amsterdam";29754;99
"Totaal";"1995 tot 2005";"2015";"Amsterdam";30031;99
"Totaal";"1995 tot 2005";"2016";"Amsterdam";30580;97
"Totaal";"1995 tot 2005";"2017";"Amsterdam";31125;97
"Totaal";"1995 tot 2005";"2018";"Amsterdam";31424;97
"Totaal";"1995 tot 2005";"2019";"Amsterdam";31725;97
"Totaal";"1995 tot 2005";"2020";"Amsterdam";32235;97
"Totaal";"1995 tot 2005";"2021";"Amsterdam";32164;97
"Totaal";"1995 tot 2005";"2022";"Amsterdam";32767;96
"Totaal";"1995 tot 2005";"2023";"Amsterdam";33234;97
"Totaal";"1995 tot 2005";"2024";"Amsterdam";33650;96
"Totaal";"1995 tot 2005";"2025";"Amsterdam";32778;97
"Totaal";"1995 tot 2005";"2026";"Amsterdam";32760;97
"Totaal";"1995 tot 2005";"2012";"'s-Gravenhage (gemeente)";29428;114
"Totaal";"1995 tot 2005";"2013";"'s-Gravenhage (gemeente)";29695;113
"Totaal";"1995 tot 2005";"2014";"'s-Gravenhage (gemeente)";29545;113
"Totaal";"1995 tot 2005";"2015";"'s-Gravenhage (gemeente)";29669;113
"Totaal";"1995 tot 2005";"2016";"'s-Gravenhage (gemeente)";29675;113
"Totaal";"1995 tot 2005";"2017";"'s-Gravenhage (gemeente)";29732;113
"Totaal";"1995 tot 2005";"2018";"'s-Gravenhage (gemeente)";29947;113
"Totaal";"1995 tot 2005";"2019";"'s-Gravenhage (gemeente)";30251;113
"Totaal";"1995 tot 2005";"2020";"'s-Gravenhage (gemeente)";30330;113
"Totaal";"1995 tot 2005";"2021";"'s-Gravenhage (gemeente)";30440;113
"Totaal";"1995 tot 2005";"2022";"'s-Gravenhage (gemeente)";30493;113
"Totaal";"1995 tot 2005";"2023";"'s-Gravenhage (gemeente)";30496;113
"Totaal";"1995 tot 2005";"2024";"'s-Gravenhage (gemeente)";30536;113
"Totaal";"1995 tot 2005";"2025";"'s-Gravenhage (gemeente)";30513;113
"Totaal";"1995 tot 2005";"2026";"'s-Gravenhage (gemeente)";30513;113
"Totaal";"1995 tot 2005";"2012";"Rotterdam";25011;102
"Totaal";"1995 tot 2005";"2013";"Rotterdam";25016;102
"Totaal";"1995 tot 2005";"2014";"Rotterdam";25031;102
