"Woningtype";"Bouwjaarklasse";"Perioden";"Regio's";"Beginstand woningvoorraad (aantal)";"Gemiddelde oppervlakte (m2)"
"Totaal";"1995 tot 2005";"2021";"Noord-Friesland (CR)";13056;154
"Totaal";"1995 tot 2005";"2021";"Zuidwest-Friesland (CR)";8240;162
"Totaal";"1995 tot 2005";"2021";"Zuidoost-Friesland (CR)";10075;153
"Totaal";"1995 tot 2005";"2021";"Noord-Drenthe (CR)";10500;148
"Totaal";"1995 tot 2005";"2021";"Zuidoost-Drenthe (CR)";9201;161
"Totaal";"1995 tot 2005";"2021";"Zuidwest-Drenthe (CR)";6653;149
"Totaal";"1995 tot 2005";"2021";"Noord-Overijssel (CR)";21026;137
"Totaal";"1995 tot 2005";"2021";"Zuidwest-Overijssel (CR)";9332;135
"Totaal";"1995 tot 2005";"2021";"Twente (CR)";32129;138
"Totaal";"1995 tot 2005";"2021";"Veluwe (CR)";30632;127
"Totaal";"1995 tot 2005";"2021";"Achterhoek (CR)";18457;141
"Totaal";"1995 tot 2005";"2021";"Arnhem/Nijmegen (CR)";29914;130
"Totaal";"1995 tot 2005";"2021";"Zuidwest-Gelderland (CR)";12632;139
"Totaal";"1995 tot 2005";"2021";"Utrecht (CR)";67619;124
"Totaal";"1995 tot 2005";"2021";"Kop van Noord-Holland (CR)";20565;133
"Totaal";"1995 tot 2005";"2021";"Alkmaar en omgeving (CR)";14291;117
"Totaal";"1995 tot 2005";"2021";"IJmond (CR)";8620;116
"Totaal";"1995 tot 2005";"2021";"Agglomeratie Haarlem (CR)";5194;108
"Totaal";"1995 tot 2005";"2021";"Zaanstreek (CR)";6880;121
"Totaal";"1995 tot 2005";"2021";"Groot-Amsterdam (CR)";63416;110
"Totaal";"1995 tot 2005";"2021";"Het Gooi en Vechtstreek (CR)";7010;126
"Totaal";"1995 tot 2005";"2021";"Agglomeratie Leiden en Bollenstreek (CR)";15606;123
"Totaal";"1995 tot 2005";"2021";"Agglomeratie 's-Gravenhage (CR)";49101;117
"Totaal";"1995 tot 2005";"2021";"Delft en Westland (CR)";9074;123
"Totaal";"1995 tot 2005";"2021";"Oost-Zuid-Holland (CR)";10587;130
"Totaal";"1995 tot 2005";"2021";"Groot-Rijnmond (CR)";69614;117
"Totaal";"1995 tot 2005";"2021";"Zuidoost-Zuid-Holland (CR)";15363;127
"Totaal";"1995 tot 2005";"2021";"Zeeuwsch-Vlaanderen (CR)";5539;148
"Totaal";"1995 tot 2005";"2021";"Overig Zeeland (CR)";12826;142
"Totaal";"1995 tot 2005";"2021";"West-Noord-Brabant (CR)";31204;134
"Totaal";"1995 tot 2005";"2021";"Midden-Noord-Brabant (CR)";26047;132
"Totaal";"1995 tot 2005";"2021";"Noordoost-Noord-Brabant (CR)";29783;143
