"Populatie";"Kenmerken van huishoudens";"Perioden";"Regio's";"Particuliere huishoudens (x 1 000)";"Particuliere huishoudens relatief (%)";"Inkomen/Gemiddeld gestandaardiseerd inkomen (1 000 euro)";"Inkomen/Mediaan gestandaardiseerd inkomen (1 000 euro)";"Inkomen/Gemiddeld besteedbaar inkomen (1 000 euro)";"Inkomen/Mediaan besteedbaar inkomen (1 000 euro)"
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Geertruidenberg";9,4;100;33,1;29,7;48,8;41,4
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Geldrop-Mierlo";17,7;100;33,4;30,1;49;41,2
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Gemert-Bakel";13;100;32,5;29,3;49;41,7
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Gennep";7,2;100;32,4;29,4;47,5;40,8
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Gilze en Rijen";11,2;100;32,6;29,8;48,6;41,8
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Goeree-Overflakkee";21,1;100;33,8;30,2;50,5;42,3
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Goes";17,7;100;32,1;28,6;45,8;37,7
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Goirle";10,2;100;34,6;31,7;51,6;45,8
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Gooise Meren";25,7;100;44;33,3;66,1;44,6
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Gorinchem";16,6;100;32,2;28,1;46,6;37,6
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Gouda";33,3;100;31,8;29,3;45,5;38,6
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Grave";5,3;100;32,4;30,1;47,5;42
